Cruise:METAVAR:TEXT:20,Station:METAVAR:TEXT:20,yyyy-mm-dd hh:mm,Latitude [degrees_north]:METAVAR:DOUBLE,Longitude [degrees_east]:METAVAR:DOUBLE,Pressure [dbar]:DOUBLE,Bottle,Sal11,Potemp190C,Sigma-é11,Sbeox0Mm/Kg,T190C,C1mS/cm,Sbeox0V,DFe nM,SD DFe nM
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,401.636,4,35.0244,13.5514,26.2995,165.283,13.6088,41.759932,1.8144,0.62,0.015
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,402.015,4,35.1248,14.2761,26.225,172.643,14.3356,42.578432,1.8959,0.31,0.007
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,403.259,3,34.778,12.2047,26.3774,144.703,12.2584,40.197638,1.6157,0.34,0.002
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,412.224,4,35.1051,14.1673,26.233,170.373,14.228,42.456042,1.8715,0.36,0.001
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,450.724,2,34.658,10.831,26.5396,142.72,10.8866,38.790922,1.5605,0.4,0.027
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,450.968,11,34.6383,10.1836,26.638,175.623,10.2372,38.159479,1.7848,0.234,0.007
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,451.615,11,34.5644,9.5956,26.6799,174.534,9.6472,37.534937,1.7598,0.29,0.01
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,452.81,2,34.6053,10.084,26.6293,141.794,10.1375,38.034118,1.5353,0.28,0.009
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,497.925,2,34.7263,9.7552,26.7797,185.333,9.813,37.868291,1.8362,0.85,0.002
OUTPACE,out_t_015,3/12/2015 1:19,-19.5325,-172.787,498.705,2,34.5908,9.1834,26.7682,198.263,9.2391,37.200691,1.9095,0.664,0.007
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,499.452,8,34.4627,8.1575,26.8282,166.815,8.2094,36.126394,1.6567,0.29,0.007
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,499.93,2,34.7865,10.6842,26.666,184.896,10.7456,38.807681,1.8621,0.44,0.004
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,500.194,2,34.608,9.2176,26.7761,193.534,9.2736,37.250044,1.8763,0.392,0.003
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,500.382,1,34.5389,9.2059,26.7239,144.679,9.2618,37.172487,1.5289,0.48,0.05
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,500.62,2,34.6588,9.8847,26.7051,185.886,9.9433,37.925452,1.8429,2.15,0.142
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,500.784,2,34.7614,10.1035,26.7479,189.26,10.1629,38.23289,1.8767,0.6,0.031
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,500.913,11,34.6654,9.6542,26.749,184.282,9.7119,37.715365,1.8247,0.502,0.003
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,500.922,2,34.5517,9.0454,26.7598,172.798,9.1009,37.035489,1.7233,0.42,0.049
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,500.931,1,34.5092,8.6844,26.7837,149.778,8.7385,36.658963,1.5506,0.59,0.019
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,501.029,8,34.5112,8.6796,26.786,153.312,8.7336,36.656413,1.5757,0.34,0.013
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,501.457,2,34.7258,10.4092,26.6671,182.724,10.4698,38.487185,1.8373,0.32,0.003
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,501.66,2,34.7792,10.92,26.618,181.511,10.9825,39.025556,1.8439,0.42,0.008
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,503.306,2,34.7863,10.8078,26.6437,186.948,10.8701,38.926807,1.8804,0.47,0.005
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,503.758,2,34.6597,9.6665,26.7426,184.207,9.7246,37.722997,1.8243,0.43,0.006
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,599.021,7,34.382,6.4256,27.0093,176.783,6.4805,34.519206,1.6576,0.42,0.007
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,600.814,9,34.4825,7.6219,26.923,197.44,7.6825,35.705562,1.8327,0.446,0.005
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,602.015,7,34.4303,6.7779,27.0004,159.054,6.8346,34.885089,1.5509,0.353,0.011
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,699.358,6,34.372,5.5074,27.1174,171.475,5.567,33.732075,1.5834,1.05,0.06
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,700.727,6,34.3754,5.5397,27.1162,172.796,5.5996,33.764839,1.5912,0.485,0.008
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,701.226,8,34.4068,6.322,27.0425,192.485,6.3862,34.500789,1.7408,0.79,0.004
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,797.949,5,34.4075,4.7994,27.2284,156.122,4.8637,33.177622,1.4564,0.83,0.007
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,800.756,5,34.4025,4.6966,27.236,160.206,4.7606,33.082728,1.4783,0.478,0.018
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,802.193,7,34.3903,5.2839,27.1587,182.34,5.3516,33.599879,1.6296,0.658,0.008
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,900.173,4,34.442,4.1638,27.3251,149.02,4.2327,32.690926,1.3852,0.75,0.009
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,901.854,4,34.4354,4.0979,27.3268,153.567,4.1666,32.627457,1.41,0.726,0.023
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,902.186,6,34.4242,4.583,27.2658,170.832,4.6551,33.051339,1.526,0.843,0.024
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,1000.681,3,34.4822,3.7181,27.403,144.857,3.7922,32.378697,1.3394,1.231,0.007
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,1000.98,5,34.4588,4.1565,27.3393,161.392,4.2339,32.749643,1.4465,1.089,0.028
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,1499.872,2,34.5936,2.5311,27.6023,135.244,2.6348,31.664869,1.2116,0.89,0.005
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,1499.908,2,34.5879,2.6154,27.5905,134.862,2.72,31.734839,1.2112,1,0.039
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,1506.766,3,34.581,2.7877,27.5698,146.429,2.8948,31.885098,1.2753,0.747,0.011
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,1999.734,1,34.6292,2.1246,27.6647,135.102,2.265,31.575265,1.1597,0.933,0.049
OUTPACE,out_t_017,3/26/2015 0:54,-18.4337,-165.907,2007.078,1,34.6331,2.0632,27.6727,135.911,2.2033,31.527592,1.1611,1.91,0.071
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,2009.775,1,34.6442,2.163,27.6735,141.774,2.3049,31.626396,1.1914,0.687,0
