Cruise:METAVAR:TEXT:20,Station:METAVAR:TEXT:20,yyyy-mm-dd hh:mm,Latitude [degrees_north]:METAVAR:DOUBLE,Longitude [degrees_east]:METAVAR:DOUBLE,Pressure [dbar]:DOUBLE,Bottle,Sal11,Potemp190C,Sigma-é11,Sbeox0Mm/Kg,T190C,C1mS/cm,Sbeox0V,DFe nM,SD DFe nM
OUTPACE,out_t_003,2/23/2015 3:38,-18.5922,162.1155,29.59,20,35.1981,27.8713,22.5856,198.573,27.8782,56.393074,2.6431,0.41,0.002
OUTPACE,out_t_004,2/24/2015 7:25,-19.4913,165.01,29.855,20,34.9558,28.6301,22.154,195.727,28.6372,56.852957,2.6319,0.32,0.001
OUTPACE,out_t_013,3/10/2015 4:53,-20.4407,-178.5107,29.991,20,35.1652,29.0919,22.1573,191.98,29.0992,57.648577,2.6123,0.43,0.003
OUTPACE,out_t_001b,2/22/2015 1:59,-17.9573,159.922,30.028,20,35.0958,28.1625,22.4135,198.817,28.1696,56.557452,2.6539,0.92,0.02
OUTPACE,out_t_007,3/5/2015 9:32,-21.9997,169.9975,30.147,20,35.4354,26.4011,23.236,197.633,26.4079,55.161939,2.5853,0.61,0.007
OUTPACE,out_t_020,3/30/2015 6:07,-18.3962,-163.0002,30.156,19,35.0166,29.172,22.0189,182.228,29.1793,57.517871,2.505,0.21,0.005
OUTPACE,out_t_009,3/7/2015 5:45,-20.7683,174.251,30.251,20,35.4724,27.9351,22.7712,194.755,27.9422,56.851695,2.6073,1.22,0.022
OUTPACE,out_t_016,3/17/2015 7:18,-18.1765,-170.7783,30.264,21,35.2035,29.4091,22.0794,198.739,29.4165,58.044196,2.6929,0.52,0.0022
OUTPACE,out_t_010b,3/8/2015 3:36,-20.6982,176.3713,30.296,20,35.4509,27.3631,22.9408,198.219,27.3701,56.208993,2.6247,1.35,0.038
OUTPACE,out_t_006,3/4/2015 11:40,-19.9812,168.0172,30.314,20,35.6235,25.9281,23.5263,201.699,25.9349,54.917075,2.6126,0.55,0.068
OUTPACE,out_t_005,2/27/2015 7:51,-19.2605,164.6897,30.466,23,35.0458,28.5389,22.2519,192.742,28.5462,56.886331,2.6014,0.85,0.049
OUTPACE,out_t_021,3/31/2015 4:46,-18.2652,-159.9915,30.537,19,35.2836,29.2265,22.2011,181.821,29.234,57.965573,2.507,0.195,0.006
OUTPACE,out_t_014,3/11/2015 1:42,-20.0073,-175.6443,30.652,20,35.5226,26.9804,23.1178,198.377,26.9874,55.900877,2.6141,0.84,0.005
OUTPACE,out_t_011,3/9/2015 2:46,-20.9827,178.6358,31.019,20,35.4249,28.1262,22.6728,192.91,28.1336,56.989482,2.5934,0.221,0.006
